Station Ids,STATION NAME,Location,STIPEND (UG),STIPEND (PG),SCHOLARSHIP,No Of Project,REQD DISCIPLINES
423,Fiber Link(Bangalore),Bangalore,25000,0,0,1,A7
425,Fiorano Software Technologies Pvt. Ltd.(Bangalore),Bangalore,20000,0,0,1,"A7 , B4 , C6 , H103"
424,Fiorano Software Technologies Pvt. Ltd.(Hyderabad),Hyderabad,20000,0,0,1,"A7 , B1 , B2 , B3 , B4 , B5 , C6"
426,Flipkart Online Services Pvt. Ltd(Bangalore),Bangalore,25000,0,0,1,"A7 , Any , C6 , H103 , H112"
728,Flutura Business Solutions Pvt. Ltd(Bangalore),Bangalore,15000,0,0,1,"A7 , C6"
427,Framebench Technologies(Pune),Pune,10000,0,0,1,-
794,"Functionspace, Pune(Pune)",Pune,20000,0,0,1,"A7 , B4 , B5"
705,Futures First(Gurgaon),Gurgaon,25000,0,0,1,-
749,Garware Bestretch Limited(Satara),Satara,10000,0,0,1,-
262,Genpact(Bangalore),Bangalore,12000,0,0,1,"A5 , A7 , AB , B1 , B4 , C6 , C7 , H149"
438,Geometric Limited(Mumbai),Mumbai,12000,0,0,1,"A4 , AB"
795,GlaxoSmithKline(Gurgaon),Gurgaon,0,0,0,0,-
440,Global Logic(Bangalore),Bangalore,15000,0,0,1,"A7 , AA , C6"
193,Global Logic(Nagpur),Nagpur,15000,0,0,1,-
439,Global Logic(Noida),Noida,15000,0,0,0,-
441,GMI Zarhak Moulders Pvt. Ltd.(Goa),Goa,5000,0,0,0,-
745,Golden Hills Capital(HYDERABAD),HYDERABAD,18000,0,0,1,-
442,Goldman Sachs India Pvt. Ltd.(Bangalore),Bangalore,15500,0,0,3,"A1 , A2 , A3 , A4 , A5 , A7 , A8 , AA , AB , B3 , B4 , B5 , C6 , H149"
713,Granules India Ltd.(Hyderabad),Hyderabad,8000,0,0,1,"A1 , A4 , A5"
445,Grasim Industries Ltd.(Nagda),Nagda,5000,0,0,0,-
